Sentence_num,Sentence Vector
1,"tensor([-0.4834, -0.1900, -0.4481, -0.4095, -0.2048])"
2,"tensor([-0.2496,  0.2614, -0.0269, -0.2352,  0.4959])"
3,"tensor([0.0128, 0.0919, 0.4236, 0.0858, 0.4538])"
4,"tensor([ 0.2262,  0.0612,  0.0530,  0.0242, -0.1124])"
5,"tensor([-0.2470,  0.1420, -0.0522,  0.2492,  0.3498])"
6,"tensor([-0.1794, -0.4903,  0.5059, -0.4374,  0.2975])"
7,"tensor([0.3432, 0.0647, 0.4024, 0.0634, 0.2810])"
8,"tensor([-0.1648,  0.2176,  0.1931,  0.1144,  0.4523])"
9,"tensor([-0.0504, -0.2226,  0.4091,  0.1388,  0.3832])"
10,"tensor([0.2905, 0.0297, 0.0856, 0.1131, 0.1642])"
11,"tensor([ 0.0224, -0.6747,  0.5088, -0.4025,  0.6839])"
12,"tensor([-0.0480,  0.4829,  0.6855, -0.0226,  0.9881])"
13,"tensor([ 0.0189, -0.4210, -0.0783, -0.1066,  0.2686])"
14,"tensor([ 0.0444, -0.0789,  0.4827,  0.0075,  0.7178])"
15,"tensor([0.4138, 0.2641, 0.2109, 0.0224, 0.5067])"
16,"tensor([ 0.0701, -0.3594, -0.2090, -0.1985,  0.2682])"
17,"tensor([ 0.1554, -0.0104, -0.0407, -0.2617,  0.1685])"
18,"tensor([-0.2088,  0.0984,  0.0271, -0.0263, -0.4239])"
19,"tensor([ 0.3287,  0.4892,  0.1153, -0.1226,  0.3409])"
20,"tensor([-0.2291, -0.1087,  0.0895, -0.4175,  0.3940])"
21,"tensor([-0.2762, -0.2465,  0.7898,  0.0865,  0.1981])"
22,"tensor([-0.0585, -0.1442,  0.5143, -0.5010,  0.0452])"
23,"tensor([-0.0859, -0.0467,  0.1885, -0.0549, -0.0324])"
24,"tensor([-0.6686, -0.5489,  0.7361,  0.3045,  0.3868])"
25,"tensor([-0.2060, -0.3013,  0.3466, -0.1331,  0.0870])"
26,"tensor([-0.0059, -0.1811, -0.1302, -0.1252,  0.1549])"
27,"tensor([-0.2867, -0.4471,  0.1317,  0.1164,  0.1565])"
28,"tensor([-0.0494, -0.2993, -0.2543, -0.4201,  0.4200])"
29,"tensor([0.2785, 0.4596, 0.3779, 0.0413, 0.6426])"
30,"tensor([-0.1987,  0.1064, -0.2562, -0.3085,  0.0139])"
31,"tensor([-0.1397, -0.5918,  0.1237, -0.2026, -0.0985])"
32,"tensor([ 0.0969, -0.1816,  0.0423, -0.4223, -0.5623])"
