Sentence_num,Cosine Sim,,,,
,,,,,
1,0.887713194,,,,
,,,,,
2,0.5916996,,,,
,,,,,
3,0.574297786,,,,
,,,,,Average
4,-0.040143982,,,,0.379169643
,,,,,
5,0.638638675,,,,
,,,,,
6,0.914538562,,,,
,,,,,
7,0.339790791,,,,
,,,,,
8,0.111677282,,,,
,,,,,
9,0.334724158,,,,
,,,,,
10,-0.11531771,,,,
,,,,,
11,0.752720237,,,,
,,,,,
12,0.960653365,,,,
,,,,,
13,0.36803627,,,,
,,,,,
14,0.131114066,,,,
,,,,,
15,0.548193932,,,,
,,,,,
16,0.686980069,,,,
,,,,,
17,-0.104252011,,,,
,,,,,
18,0.697118223,,,,
,,,,,
19,-0.182673723,,,,
,,,,,
20,0.673161268,,,,
,,,,,
21,0.712395966,,,,
,,,,,
22,0.029844627,,,,
,,,,,
23,-0.714960515,,,,
,,,,,
24,0.770831227,,,,
,,,,,
25,0.87577796,,,,
,,,,,
26,-0.025240613,,,,
,,,,,
27,0.112090342,,,,
,,,,,
28,0.401997983,,,,
,,,,,
29,0.733059227,,,,
,,,,,
30,-0.462436467,,,,
,,,,,
31,0.696513414,,,,
,,,,,
32,0.23488538,,,,
