Original Idiom,Cosine Sim,,,,
,,,,,
just in case,0.598755717,,,,
,,,,,
a sorry sight,0.832300663,,,,0.547016418
,,,,,
rule of thumb,0.626062334,,,,
,,,,,
carpe diem,0.724146724,,,,
,,,,,
salad days,0.870664239,,,,
,,,,,
off the record,0.401142061,,,,
,,,,,
thank goodness,0.721159637,,,,
,,,,,
big bucks,0.468119591,,,,
,,,,,
dog days,-0.122560211,,,,
,,,,,
wet behind the ears,0.858761311,,,,
,,,,,
just deserts,0.55740875,,,,
,,,,,
an arm and a leg,0.252102941,,,,
,,,,,
never mind,0.481643289,,,,
,,,,,
bricks and mortar,0.980914772,,,,
,,,,,
close call,0.052476551,,,,
,,,,,
a sight for sore eyes,0.586806476,,,,
,,,,,
open warfare,0.090621367,,,,
,,,,,
pin money,0.811413646,,,,
,,,,,
third time lucky,0.881849647,,,,
,,,,,
race against time,0.710735142,,,,
,,,,,
rain or shine,0.664352179,,,,
,,,,,
hold on a second,-0.035679337,,,,
,,,,,
next to nothing,0.749220788,,,,
,,,,,
cheek by jowl,0.777010322,,,,
,,,,,
black and blue,0.152965397,,,,
,,,,,
dead wood,0.324182928,,,,
,,,,,
stranger things have happened,0.909793019,,,,
,,,,,
pigs might fly,0.828059852,,,,
,,,,,
poetry in motion,0.116740659,,,,
,,,,,
dressed up to the nines,0.826047122,,,,
,,,,,
way around,-0.198785707,,,,
,,,,,
no strings attached,0.790111601,,,,
,,,,,
a shot in the arm,0.668649316,,,,
,,,,,
below the salt,0.915523052,,,,
,,,,,
heart of gold,0.394431412,,,,
,,,,,
in the pipeline,0.90764457,,,,
,,,,,
golden age,0.45809418,,,,
,,,,,
in limbo,0.632321715,,,,
,,,,,
baptism of fire,0.901833534,,,,
,,,,,
beyond words,0.816804826,,,,
,,,,,
on the table,0.263403386,,,,
,,,,,
in bad shape,0.581447244,,,,
,,,,,
on the horns of a dilemma,0.208761007,,,,
,,,,,
under pressure,0.686096728,,,,
,,,,,
dead right,0.210682645,,,,
,,,,,
give me five,0.418107957,,,,
,,,,,
in the heat of the moment,0.758611441,,,,
,,,,,
fit as a fiddle,0.29927817,,,,
,,,,,
charity begins at home,0.410431087,,,,
,,,,,
syrup of figs,0.559487224,,,,
,,,,,
against time,0.545121491,,,,
,,,,,
neither fish nor fowl,0.308323383,,,,
,,,,,
well hung,0.42574054,,,,
,,,,,
in a nutshell,0.846533477,,,,
,,,,,
red handed,0.889340341,,,,
,,,,,
at hand,0.853184402,,,,
,,,,,
by the numbers,0.624248862,,,,
,,,,,
nest egg,0.352216035,,,,
,,,,,
shelf life,0.512559354,,,,
,,,,,
flotsam and jetsam,0.891349196,,,,
,,,,,
out on the town,0.583555579,,,,
,,,,,
on the fence,-0.068281449,,,,
,,,,,
fancy free,0.502949953,,,,
,,,,,
head over heels,0.469503164,,,,
,,,,,
at the drop of a hat,0.832326651,,,,
,,,,,
poetic justice,-0.394500971,,,,
,,,,,
in the eyes of the law,0.918969452,,,,
,,,,,
dead to the world,0.925011039,,,,
,,,,,
odds and ends,0.608492792,,,,
,,,,,
an ugly duckling,0.576037884,,,,
,,,,,
money for old rope,0.8519575,,,,
,,,,,
daily grind,-0.022225736,,,,
,,,,,
well read,0.572912633,,,,
,,,,,
no spring chicken,-0.255763113,,,,
,,,,,
let sleeping dogs lie,0.854023278,,,,
,,,,,
easier said than done,0.898534477,,,,
,,,,,
son of a gun,0.515968323,,,,
,,,,,
hold your horses,0.606226683,,,,
,,,,,
god forbid,0.312966526,,,,
,,,,,
across the board,0.840785205,,,,
,,,,,
against the clock,-0.21518901,,,,
,,,,,
in the same boat,0.596912444,,,,
,,,,,
skid row,0.00020538,,,,
,,,,,
the best of both worlds,0.86167556,,,,
,,,,,
nitty gritty,0.586781144,,,,
,,,,,
the men in grey suits,0.959018648,,,,
,,,,,
caught in the crossfire,0.888716817,,,,
,,,,,
between life and death,0.719432414,,,,
,,,,,
time is money,0.653778076,,,,
,,,,,
young blood,-0.437303632,,,,
,,,,,
labour of love,0.40071553,,,,
,,,,,
the acid test,0.700211108,,,,
,,,,,
dead and buried,-0.273196399,,,,
,,,,,
as poor as a church mouse,0.938660204,,,,
,,,,,
the holy grail,0.776490808,,,,
,,,,,
to this day,0.722301006,,,,
,,,,,
whiter than white,0.892086625,,,,
,,,,,
all together now,0.89645642,,,,
,,,,,
inside job,0.877183199,,,,
,,,,,
magic touch,0.398485541,,,,
