end,user,3.866667,4.866667,4.25
firing,line,1.607143,1.892857,1.703704
game,plan,2.821429,4.862069,3.827586
application,form,4.766667,4.862069,4.8
snail,mail,0.6,4.586207,1.310345
web,site,2.678571,3.933333,3.785714
flea,market,0.37931,4.714286,1.517241
grandfather,clock,0.428571,5,2.642857
diamond,wedding,1.066667,3.407407,1.703704
guilt,trip,4.714286,0.862069,2.185185
silver,spoon,1.592593,1.444444,1.518519
rush,hour,3.107143,2.862069,3.333333
china,clay,2,4.62069,3.851852
cocktail,dress,1.4,5,3.038462
mailing,list,4.666667,4.933333,4.666667
spelling,bee,4.814815,0.517241,2.448276
public,service,4.666667,4.766667,4.4
head,teacher,2.931034,4.517241,4
video,game,4.5,5,4.6
spinning,jenny,4.666667,0.413793,2.275862
think,tank,3.961538,0.466667,2.038462
cash,cow,4.222222,0.37037,1.555556
swan,song,0.37931,1.107143,0.827586
monkey,business,0.666667,1.851852,0.724138
snake,oil,0.37037,0.814815,0.75
smoking,gun,0.714286,1,0.714286
balance,sheet,3.821429,3.896552,3.862069
zebra,crossing,0.758621,4.607143,1.25
cutting,edge,0.884615,1.730769,1.25
radio,station,4.655172,4.344828,4.466667
search,engine,4.62069,2.25,3.32
shrinking,violet,2.275862,0.233333,1.068966
face,value,1.392857,4.642857,3.037037
human,being,4.862069,4.333333,4.586207
sacred,cow,1.928571,0.964286,1.518519
number,crunching,4.482759,0.965517,2.259259
silver,screen,1.413793,3.230769,2.37931
melting,pot,1,0.481481,0.538462
kangaroo,court,0.166667,4.428571,1.366667
ground,floor,4.655172,4.7,4.666667
rat,run,0.413793,2.333333,0.793103
law,firm,4.724138,3.892857,4.4
polo,shirt,1.733333,5,3.366667
ivory,tower,0.37931,0.535714,0.464286
lip,service,2.033333,1.75,1.62069
health,insurance,4.533333,4.833333,4.4
couch,potato,3.269231,0.344828,1.413793
chain,reaction,2.407407,4.517241,2.931034
silver,bullet,0.518519,0.551724,0.666667
graduate,student,4.7,5,4.9
cloud,nine,0.466667,0.233333,0.333333
front,runner,3.965517,1.285714,2.655172
agony,aunt,1.862069,0.433333,0.758621
rock,bottom,0.740741,3.8,2.142857
acid,test,0.714286,3.896552,1.222222
climate,change,4.896552,4.827586,4.965517
lotus,position,1.111111,4.777778,2.482759
sitting,duck,1.482759,0.413793,0.96
car,park,4.896552,4,4.2
gold,mine,1.37931,0.703704,0.814815
gravy,train,0.296296,0.448276,0.310345
case,study,3.655172,4.666667,3.7
night,owl,4.466667,0.5,1.925926
pecking,order,0.777778,3.888889,1.689655
eye,candy,3.827586,0.714286,1.482759
nest,egg,0.785714,0.5,0.777778
role,model,3.551724,4,4.111111
fashion,plate,4.413793,3.307692,3.896552
crocodile,tear,0.185185,3.785714,1.25
rat,race,0.25,2.035714,0.857143
crash,course,0.964286,4.233333,2.142857
rocket,science,0.642857,1.551724,1.428571
memory,lane,4.75,0.714286,2.166667
smoking,jacket,1.035714,4.896552,2.32
interest,rate,4.344828,4.689655,4.571429
engine,room,4.862069,5,4.931034
blame,game,4.607143,2,2.72
brass,ring,3.733333,3.866667,3.724138
panda,car,0.5,4.655172,1.807692
research,project,4.9,4.533333,4.821429
call,centre,4.733333,4.413793,4.655172
graveyard,shift,0.37931,4.5,1.518519
credit,card,4.666667,4.896552,4.666667
cheat,sheet,2.3,4,2.892857
parking,lot,4.833333,4.766667,4.7
fine,line,3.172414,2.033333,2.689655
brick,wall,3.16,3.533333,3.793103
speed,limit,4.933333,4.827586,4.827586
swimming,pool,4.8,4.9,4.866667
bank,account,4.866667,4.827586,4.733333
high,life,,,
birth,rate,,,
